Unnamed: 0,age,gender,year_in_school,major,monthly_income,financial_aid,tuition,housing,food,transportation,books_supplies,entertainment,personal_care,technology,health_wellness,miscellaneous,preferred_payment_method
243,23,Non-binary,Sophomore,Psychology,8896,40,30984,5896,1504,808,2128,368,608,584,1520,1272,Cash
244,20,Female,Junior,Engineering,9648,5112,41688,5760,2904,528,960,1072,680,1216,416,240,Cash
245,24,Male,Junior,Biology,9272,3720,25224,7128,1808,440,760,368,464,2272,328,704,Mobile Payment App
246,19,Non-binary,Sophomore,Biology,10000,904,38872,4168,2440,736,1064,616,736,552,864,928,Mobile Payment App
247,20,Non-binary,Freshman,Computer Science,8960,2616,44072,5360,960,1040,1424,416,568,2136,304,504,Mobile Payment App
248,24,Non-binary,Senior,Computer Science,10216,4160,37648,4304,2992,1464,1944,640,592,1968,1216,368,Cash
249,19,Male,Freshman,Psychology,11536,3704,42272,4296,2456,1256,904,480,312,2088,1424,920,Mobile Payment App
250,24,Non-binary,Junior,Biology,6208,128,34824,3680,2864,760,1752,216,488,1424,1384,1344,Cash
251,21,Female,Sophomore,Biology,6400,2488,29128,3504,2648,480,1000,176,328,2024,360,624,Mobile Payment App
252,18,Female,Junior,Computer Science,8624,7280,43328,4056,1856,1400,512,1032,440,1088,1248,416,Credit/Debit Card
253,20,Male,Junior,Computer Science,11232,5976,31360,6080,1896,832,976,224,656,920,600,448,Mobile Payment App
254,21,Non-binary,Junior,Psychology,8776,560,34040,3576,808,1000,2136,952,464,608,296,752,Credit/Debit Card
255,22,Non-binary,Freshman,Biology,6680,1952,24784,6672,3040,760,1944,312,408,1424,808,880,Credit/Debit Card
256,18,Non-binary,Senior,Economics,6040,6056,25768,6560,2408,1008,1848,616,568,2272,792,888,Credit/Debit Card
257,19,Male,Freshman,Engineering,8696,1064,41360,6976,1064,688,1416,584,504,1584,1336,256,Credit/Debit Card
258,23,Male,Sophomore,Computer Science,7448,7600,24096,5088,2632,1496,768,1128,768,1968,1544,968,Cash
259,20,Female,Sophomore,Psychology,7864,2568,39296,6088,2800,1416,2048,488,584,1648,504,1432,Credit/Debit Card
260,21,Non-binary,Sophomore,Engineering,5112,6832,33280,5408,1392,856,1664,568,384,1848,1536,1352,Mobile Payment App
261,20,Male,Junior,Engineering,4216,3504,33848,7688,1696,480,2296,456,248,640,1296,320,Mobile Payment App
262,24,Male,Junior,Computer Science,5952,5328,39440,6824,1072,920,1576,856,584,2048,936,272,Mobile Payment App
263,21,Male,Freshman,Economics,8944,2936,30568,7648,2296,896,2136,520,736,1176,1192,400,Mobile Payment App
264,22,Male,Senior,Engineering,10208,4848,30472,7760,992,776,2168,768,648,880,1088,336,Credit/Debit Card
265,25,Female,Junior,Engineering,7040,6904,38168,7224,2328,800,2336,864,440,1736,1312,408,Cash
266,23,Male,Freshman,Engineering,11392,7096,37160,6832,1120,1160,1248,280,288,400,912,1224,Mobile Payment App
267,22,Female,Senior,Psychology,10208,4000,28544,6280,2704,1152,2384,728,512,1384,784,872,Mobile Payment App
268,19,Non-binary,Junior,Computer Science,5576,7544,47664,6592,2192,1600,712,448,248,2144,1400,768,Mobile Payment App
269,23,Non-binary,Senior,Computer Science,11032,4000,29320,7568,912,1144,1688,736,160,664,904,880,Mobile Payment App
270,20,Female,Freshman,Computer Science,11728,7816,43200,5584,2264,1080,464,1080,768,1368,240,680,Credit/Debit Card
271,24,Male,Junior,Biology,9008,5192,28520,3864,2072,504,424,456,344,520,320,688,Cash
272,23,Non-binary,Senior,Biology,9008,72,44280,8000,1648,1080,672,560,760,2360,960,584,Cash
273,21,Non-binary,Senior,Biology,4944,7328,39616,3672,1536,1160,1616,688,648,976,1200,904,Cash
274,22,Non-binary,Junior,Biology,6280,2424,27960,3256,1960,512,736,376,656,752,832,1472,Mobile Payment App
275,18,Non-binary,Senior,Computer Science,6160,4432,28280,3744,1368,832,744,600,176,592,1528,1456,Cash
276,25,Non-binary,Sophomore,Psychology,11448,6848,41728,4224,3016,1240,1528,1192,448,936,992,1384,Credit/Debit Card
277,18,Female,Freshman,Biology,10704,3928,31640,6248,800,1112,1400,1032,192,1336,1192,1096,Credit/Debit Card
278,25,Female,Sophomore,Psychology,8968,6352,28136,3256,2904,808,1360,480,240,1344,808,992,Mobile Payment App
279,24,Female,Freshman,Engineering,9960,5400,46664,7552,1560,856,704,632,760,1328,1592,976,Credit/Debit Card
280,20,Female,Senior,Computer Science,5984,1784,26744,7352,800,1136,2128,616,480,824,1592,696,Mobile Payment App
281,20,Female,Junior,Biology,11112,3816,28880,6488,1216,728,1872,656,264,1368,768,248,Credit/Debit Card
282,19,Female,Junior,Engineering,8976,6320,47752,6720,2920,832,1072,512,784,1608,456,1344,Credit/Debit Card
283,23,Male,Senior,Psychology,8904,7640,43648,6184,2792,1424,632,1080,624,1600,1080,1016,Cash
284,20,Female,Sophomore,Economics,7032,4376,40440,3256,1352,840,2240,720,496,1904,656,1376,Cash
285,18,Non-binary,Freshman,Economics,11912,1616,37680,7368,808,1496,976,1040,304,1968,768,1544,Mobile Payment App
286,22,Female,Freshman,Biology,6952,680,46928,6032,3032,1016,1712,888,512,2208,296,840,Cash
287,23,Male,Junior,Psychology,11048,4160,40528,4992,2848,520,776,440,672,848,520,408,Mobile Payment App
288,21,Non-binary,Sophomore,Biology,10600,5880,32096,7040,2160,1600,1840,968,776,1984,816,1256,Cash
289,20,Male,Senior,Psychology,4648,3936,29640,3584,2544,912,1488,1032,680,1720,1504,800,Cash
290,22,Non-binary,Senior,Engineering,5552,1960,33120,5536,3184,736,1720,200,736,1976,1080,224,Mobile Payment App
291,24,Female,Sophomore,Economics,4920,4504,27112,3224,1600,872,504,1160,632,1864,512,1224,Mobile Payment App
292,25,Female,Sophomore,Economics,11152,4152,39984,7032,1776,672,1128,168,536,768,808,888,Credit/Debit Card
293,25,Female,Freshman,Biology,6400,1784,46936,6624,2384,752,1328,1016,648,1832,384,568,Credit/Debit Card
294,20,Male,Senior,Psychology,7304,5072,28328,5344,3000,1496,1368,560,728,720,1064,1600,Cash
295,19,Male,Sophomore,Psychology,9944,7056,44560,4592,848,1520,584,680,776,2112,752,656,Mobile Payment App
296,20,Female,Sophomore,Economics,5240,5480,24920,3848,2160,1256,1064,776,176,896,640,784,Credit/Debit Card
297,18,Male,Freshman,Biology,5336,5176,37096,7248,1800,984,1632,648,288,712,264,1096,Credit/Debit Card
298,24,Non-binary,Senior,Economics,11664,56,41144,4040,2632,1120,2120,1104,520,648,392,1584,Credit/Debit Card
299,22,Non-binary,Sophomore,Biology,7400,2800,35560,4232,1816,408,1384,1056,192,464,1464,592,Mobile Payment App
300,21,Non-binary,Senior,Economics,8840,280,32912,3336,2464,1424,1216,1136,720,2288,672,1112,Credit/Debit Card
301,18,Male,Junior,Biology,5896,3920,44176,6064,1080,1280,840,520,640,2248,1184,896,Cash
302,25,Female,Freshman,Computer Science,11960,7136,44200,6136,1456,776,1704,1080,240,1568,432,168,Mobile Payment App
303,20,Male,Senior,Economics,10384,7768,40016,5736,1992,504,1712,576,320,1760,640,208,Mobile Payment App
304,21,Male,Sophomore,Psychology,10176,6272,29664,6480,2912,720,952,256,536,728,1168,1200,Credit/Debit Card
305,19,Female,Senior,Biology,4088,6600,43064,7336,1608,1216,936,1176,336,1952,600,1008,Credit/Debit Card
306,21,Female,Sophomore,Engineering,9288,4528,41424,5224,3048,1240,1704,928,360,1664,1112,1392,Credit/Debit Card
307,21,Male,Senior,Psychology,8896,7544,46656,7048,2336,744,2304,1080,656,536,816,1256,Mobile Payment App
308,25,Male,Junior,Economics,7664,3608,47592,5240,1304,624,768,1200,432,624,608,1408,Cash
309,25,Non-binary,Junior,Engineering,9408,1488,32352,4920,2552,744,864,368,768,1472,488,296,Credit/Debit Card
310,20,Non-binary,Senior,Engineering,5816,3608,26600,4560,2024,608,784,440,392,1832,768,776,Cash
311,25,Non-binary,Senior,Biology,11864,6608,24384,5864,1088,824,2224,912,176,2256,880,480,Credit/Debit Card
312,24,Male,Junior,Computer Science,7048,776,39072,6856,2720,1328,1176,272,256,2384,920,304,Credit/Debit Card
313,21,Male,Freshman,Engineering,10776,5072,46128,4496,3184,1072,1776,344,448,864,1296,272,Mobile Payment App
314,22,Female,Freshman,Psychology,5800,1056,35816,6576,1200,488,1536,1064,712,1632,1064,760,Mobile Payment App
315,18,Non-binary,Sophomore,Biology,8000,2160,33368,6872,1552,1112,1968,816,520,744,1480,1216,Credit/Debit Card
316,24,Female,Sophomore,Engineering,6360,4640,33008,3632,1808,1056,912,936,576,1264,1064,1056,Credit/Debit Card
317,18,Male,Senior,Economics,6952,3576,31696,3328,2952,896,568,352,408,1280,592,344,Mobile Payment App
318,24,Female,Freshman,Biology,4344,1416,38584,7808,2360,1224,688,856,288,1144,944,1376,Credit/Debit Card
319,25,Male,Sophomore,Economics,11760,3224,44488,5632,1424,832,1384,288,400,648,1120,912,Credit/Debit Card
320,19,Female,Freshman,Economics,5872,6704,35528,3496,1480,632,424,1032,168,1192,960,424,Cash
321,20,Female,Freshman,Computer Science,5352,5104,47432,4704,2320,1408,1744,592,184,1592,520,1192,Mobile Payment App
322,19,Female,Junior,Psychology,10688,3336,36264,6472,2144,1048,1896,768,704,2312,904,960,Cash
323,21,Female,Sophomore,Economics,11488,3480,43312,5984,2192,712,1760,272,632,1928,944,904,Mobile Payment App
324,21,Non-binary,Freshman,Engineering,10712,6216,42336,4072,1960,904,560,808,376,2376,1248,328,Mobile Payment App
325,18,Female,Freshman,Biology,4872,1608,35816,7440,2080,1424,2176,784,664,1104,1032,416,Credit/Debit Card
326,21,Non-binary,Sophomore,Economics,8288,1352,36656,3408,1648,1512,1896,1120,560,472,840,984,Mobile Payment App
327,25,Female,Senior,Engineering,10472,6720,44600,7384,2056,920,2104,624,160,1888,312,624,Mobile Payment App
328,25,Male,Sophomore,Engineering,11768,4168,35104,4032,2728,904,608,272,536,1728,624,288,Cash
329,19,Male,Freshman,Engineering,5264,3896,28632,5640,2336,1376,1584,160,400,1672,544,168,Mobile Payment App
330,19,Male,Junior,Engineering,5472,5824,43256,7624,1296,856,936,512,432,2080,1328,1344,Mobile Payment App
331,20,Male,Sophomore,Computer Science,7256,3744,26864,7016,1216,1360,504,352,376,1408,1264,1496,Credit/Debit Card
332,18,Male,Freshman,Computer Science,6768,5368,38616,7424,2048,488,912,168,616,1280,1064,1144,Mobile Payment App
333,18,Female,Sophomore,Biology,9400,7704,43688,3984,1744,648,1456,208,480,2368,1144,192,Cash
334,25,Male,Freshman,Biology,5272,7144,46696,6936,1136,616,1304,840,632,1472,1328,1120,Credit/Debit Card
335,18,Non-binary,Sophomore,Economics,11904,3936,41480,3600,1216,960,1744,728,648,2056,400,312,Cash
336,22,Female,Senior,Psychology,9520,1552,40856,3864,2392,1432,1384,240,544,1152,1360,952,Cash
337,19,Female,Junior,Psychology,5936,4344,42304,6176,1000,1296,984,1008,408,752,904,568,Credit/Debit Card
338,23,Non-binary,Freshman,Psychology,7312,5304,26120,6472,1400,480,1000,168,648,1080,1552,1232,Credit/Debit Card
339,19,Male,Freshman,Biology,11880,424,29272,5208,1768,1584,992,1128,680,2344,456,1368,Cash
340,20,Female,Junior,Biology,4656,5424,33520,5776,896,1504,776,1064,528,552,1048,1176,Credit/Debit Card
341,19,Non-binary,Junior,Engineering,11744,3320,38112,4904,920,1256,968,248,704,616,448,936,Credit/Debit Card
342,25,Female,Sophomore,Computer Science,8168,744,30040,4096,832,1504,1168,824,504,1464,1024,272,Cash
343,24,Male,Freshman,Computer Science,6080,2248,37816,6576,3152,704,1528,400,384,1280,1504,648,Mobile Payment App
344,24,Non-binary,Freshman,Economics,7752,2968,30168,7112,2688,472,2384,280,712,1608,592,600,Cash
345,23,Female,Senior,Biology,7920,3448,30768,4752,2640,712,912,432,576,656,1056,1000,Mobile Payment App
346,23,Non-binary,Sophomore,Engineering,10432,3656,33920,7024,888,1320,688,984,328,960,992,216,Cash
347,23,Male,Sophomore,Biology,6440,0,38072,3272,2040,808,2280,392,360,712,920,1032,Credit/Debit Card
348,25,Male,Senior,Engineering,9432,1784,32464,7616,2720,944,520,968,408,1392,328,1416,Credit/Debit Card
349,18,Non-binary,Senior,Computer Science,4584,2392,24024,7024,1832,1048,1256,464,704,424,1456,1520,Mobile Payment App
350,25,Female,Senior,Psychology,6744,32,39248,6952,1808,1568,528,656,784,2312,464,1184,Mobile Payment App
351,23,Non-binary,Junior,Biology,8680,6360,24448,4008,1360,1088,1240,560,368,1536,712,304,Mobile Payment App
352,23,Female,Freshman,Biology,4640,6168,30312,5656,2576,1360,1952,912,600,632,1504,856,Credit/Debit Card
353,25,Female,Sophomore,Computer Science,7800,5040,38280,5544,2528,1416,2104,968,496,1864,1192,256,Cash
354,23,Male,Senior,Psychology,4816,4864,36336,6640,3024,664,1832,1048,432,1328,1160,1280,Credit/Debit Card
355,23,Non-binary,Senior,Economics,8824,6984,38088,5368,3152,968,1720,896,376,944,952,920,Cash
356,20,Non-binary,Freshman,Psychology,6528,1864,31272,7592,1088,1320,424,472,240,2200,1464,256,Mobile Payment App
357,24,Male,Freshman,Engineering,8128,1608,40336,4848,1136,432,1504,848,512,1296,320,672,Cash
358,23,Non-binary,Junior,Engineering,7752,2616,27592,4128,2496,1456,1488,200,352,1488,936,1312,Cash
359,21,Non-binary,Junior,Computer Science,7344,6648,47472,7592,3128,648,1016,968,512,2200,1128,1272,Credit/Debit Card
360,23,Non-binary,Senior,Computer Science,7856,1656,35176,5680,1272,944,712,872,696,1800,520,552,Mobile Payment App
361,25,Male,Junior,Computer Science,8168,7296,47832,6280,2344,688,1824,256,368,1080,816,576,Cash
362,22,Female,Sophomore,Psychology,4168,7072,45608,7328,2736,1400,1768,688,368,456,896,216,Mobile Payment App
363,24,Female,Freshman,Computer Science,11552,7048,29768,3664,2152,560,712,576,400,1456,648,1040,Mobile Payment App
364,21,Male,Sophomore,Psychology,5168,3896,33744,6576,992,592,864,416,776,544,840,384,Credit/Debit Card
365,21,Female,Freshman,Economics,10368,1064,29824,3712,1696,1472,2384,576,424,1584,888,1080,Mobile Payment App
366,18,Non-binary,Freshman,Economics,10880,1776,46072,6480,1312,1224,616,480,792,1440,1416,1144,Mobile Payment App
367,19,Female,Senior,Biology,8984,40,43256,3232,2760,976,1496,584,160,1720,1368,1520,Cash
368,18,Female,Senior,Psychology,8160,592,46696,4416,984,1104,2136,784,504,2136,1304,240,Mobile Payment App
369,21,Female,Freshman,Computer Science,5888,5024,30056,5944,2048,1440,1672,736,736,1824,352,488,Credit/Debit Card
370,23,Non-binary,Senior,Economics,7448,2576,46920,3920,1240,1168,1400,632,760,904,1136,1112,Cash
371,24,Male,Senior,Psychology,11544,7856,30456,6512,2912,1352,2392,1008,160,816,1544,1016,Mobile Payment App
372,22,Male,Freshman,Engineering,5840,2992,27864,5400,1840,544,1696,992,576,1248,944,1448,Cash
373,25,Non-binary,Senior,Economics,4488,6072,33832,6248,1176,704,1152,440,760,912,1136,448,Mobile Payment App
374,25,Female,Sophomore,Economics,9696,4928,46936,5824,3024,520,1272,736,632,2312,280,600,Cash
375,25,Non-binary,Freshman,Computer Science,10256,3328,46592,4752,2472,968,864,464,728,1872,832,960,Cash
376,21,Non-binary,Freshman,Biology,11504,2912,41064,4936,3136,1016,1992,296,224,1232,1360,1392,Mobile Payment App
377,18,Female,Senior,Psychology,5616,4248,39208,3976,1896,1200,2384,368,496,1800,984,1040,Credit/Debit Card
378,20,Male,Senior,Biology,11464,6112,40016,4712,3176,408,2304,1080,800,568,384,896,Credit/Debit Card
379,25,Female,Freshman,Psychology,11552,4336,37440,6632,1656,976,2080,872,296,1016,344,552,Cash
380,22,Female,Junior,Psychology,4288,3872,46424,3304,2608,832,688,792,552,1576,1336,1256,Cash
381,18,Non-binary,Freshman,Engineering,10080,544,28880,5096,2368,688,696,400,432,1840,1464,1096,Credit/Debit Card
382,18,Non-binary,Freshman,Biology,5608,2720,25880,7752,2696,520,1216,904,792,1352,1288,1272,Cash
383,18,Female,Freshman,Engineering,10472,1152,27352,5824,1368,928,1216,856,680,992,608,624,Cash
384,18,Non-binary,Sophomore,Economics,6736,3928,36656,3784,1616,1248,2232,960,648,2160,536,624,Credit/Debit Card
385,24,Male,Freshman,Computer Science,4936,6904,30360,6696,1848,1216,2048,328,592,1768,1040,848,Credit/Debit Card
386,21,Non-binary,Junior,Engineering,9072,3920,46912,5712,2960,768,1592,912,656,536,1520,192,Cash
387,23,Non-binary,Sophomore,Psychology,7936,1936,33680,3960,1496,912,464,1056,768,1232,1072,1432,Mobile Payment App
388,18,Non-binary,Freshman,Economics,11264,4576,34168,3816,2560,624,1200,1200,648,1304,368,192,Mobile Payment App
389,21,Female,Senior,Biology,10944,7520,25872,3240,2672,472,912,184,536,1080,1520,176,Mobile Payment App
390,22,Male,Senior,Economics,5728,1256,32448,6312,2864,1488,1728,624,592,1400,1352,872,Cash
391,22,Non-binary,Freshman,Psychology,9792,4648,42472,7488,2112,440,1504,1008,376,1552,632,208,Credit/Debit Card
392,19,Non-binary,Senior,Biology,10792,6304,34184,3368,848,1280,1176,312,712,1880,1456,344,Cash
393,24,Female,Sophomore,Engineering,6416,4416,25168,5792,1704,760,1080,824,560,2136,432,984,Cash
394,18,Female,Senior,Psychology,7784,2544,28800,7304,3000,1464,1424,976,752,1032,528,1184,Cash
395,19,Female,Senior,Engineering,5888,5280,47560,3824,2736,600,2232,344,392,856,752,456,Mobile Payment App
396,22,Male,Senior,Engineering,4568,3984,31176,5184,1448,448,2200,688,456,2296,632,880,Mobile Payment App
397,25,Female,Sophomore,Engineering,6664,448,25064,4920,1176,720,1608,648,240,1184,336,968,Cash
398,22,Female,Freshman,Computer Science,5704,3056,32928,4736,2632,960,2152,368,424,1840,456,1224,Credit/Debit Card
399,20,Male,Junior,Economics,10144,3800,47200,5288,2112,1256,2064,416,304,1336,1392,352,Cash
400,19,Non-binary,Freshman,Biology,6552,4920,40600,6864,1224,1600,920,608,720,1112,1232,352,Mobile Payment App
401,18,Male,Senior,Economics,10144,2592,30304,3864,2712,1272,960,440,176,1696,1384,624,Credit/Debit Card
402,18,Female,Senior,Engineering,11888,5640,32344,5288,1424,512,2208,640,552,1152,920,208,Mobile Payment App
403,24,Male,Freshman,Computer Science,8040,4288,31552,5496,2096,1184,1600,1104,424,1168,1552,640,Cash
404,25,Female,Senior,Economics,9640,6696,24112,4744,1464,1136,896,616,472,1672,1160,624,Credit/Debit Card
405,24,Male,Senior,Engineering,10848,6864,41096,5976,872,1360,1224,368,320,1048,680,960,Mobile Payment App
406,22,Male,Senior,Engineering,6536,4440,46032,5728,3056,1080,1136,168,232,1504,1464,328,Mobile Payment App
407,22,Male,Sophomore,Biology,5648,600,32640,6992,1112,1464,744,328,376,1088,1312,872,Cash
408,18,Non-binary,Junior,Economics,8816,3920,46824,5352,1840,976,944,328,592,2208,552,1120,Cash
409,22,Male,Sophomore,Engineering,10232,7184,31840,3768,2120,1184,616,544,296,1056,1536,1256,Credit/Debit Card
410,18,Male,Sophomore,Economics,11656,7984,33856,7656,3000,1112,1336,1128,248,1568,280,440,Credit/Debit Card
411,21,Female,Freshman,Psychology,10448,296,39544,4552,2608,800,2216,728,680,1968,384,632,Cash
412,25,Male,Sophomore,Engineering,10472,3464,36504,3960,2472,1216,2320,672,792,2048,296,744,Credit/Debit Card
413,19,Male,Freshman,Biology,11856,5640,39784,3464,2352,1152,1864,1192,472,1336,1040,768,Credit/Debit Card
414,23,Male,Sophomore,Economics,11744,2664,38760,4504,856,592,1032,952,192,984,784,1384,Mobile Payment App
415,25,Female,Sophomore,Economics,6952,816,28448,4352,3096,1288,1264,384,640,1304,744,1032,Credit/Debit Card
416,18,Male,Junior,Economics,7088,7336,43584,6464,1240,1352,1200,192,480,1032,1016,1560,Mobile Payment App
417,19,Female,Freshman,Economics,11544,6648,34312,4088,1520,1216,864,704,488,1424,1168,824,Mobile Payment App
418,23,Non-binary,Freshman,Biology,6128,760,38256,7040,2032,1392,1904,400,384,1264,1256,776,Cash
419,22,Non-binary,Senior,Biology,11224,248,36760,6088,2648,1432,456,776,536,2184,1432,448,Cash
420,24,Non-binary,Freshman,Engineering,10976,6424,32640,3456,3088,1472,400,520,664,1984,712,488,Credit/Debit Card
421,23,Non-binary,Freshman,Biology,11424,4776,43960,6528,2656,1016,2168,800,176,744,1304,480,Mobile Payment App
422,19,Male,Junior,Biology,10424,480,36120,4088,3096,1432,1952,544,800,2088,280,1232,Cash
423,20,Non-binary,Sophomore,Economics,4576,6584,47032,3504,2880,576,944,640,360,2120,384,240,Credit/Debit Card
424,23,Non-binary,Junior,Economics,4464,1552,37184,6920,1464,480,904,1024,304,2120,336,1336,Credit/Debit Card
425,23,Female,Junior,Engineering,8392,3808,47776,5304,928,1296,416,880,168,1616,688,504,Mobile Payment App
426,18,Female,Freshman,Computer Science,7384,864,29120,3272,3072,936,1992,608,544,1216,688,1024,Credit/Debit Card
427,18,Female,Freshman,Engineering,4968,280,46232,4464,2016,872,2312,656,408,784,424,800,Cash
428,21,Non-binary,Junior,Economics,5280,2784,45512,5848,984,704,712,536,512,1488,312,208,Mobile Payment App
429,21,Non-binary,Freshman,Biology,4224,736,30904,7192,1016,1472,800,168,440,1560,1000,1072,Mobile Payment App
430,23,Female,Freshman,Psychology,5120,4944,29752,4104,1560,1152,2200,264,504,1200,1536,720,Mobile Payment App
431,18,Female,Senior,Computer Science,11416,4584,34456,6376,1792,1288,1088,696,472,1272,696,160,Mobile Payment App
432,18,Male,Sophomore,Computer Science,4216,3240,36616,4256,1064,1072,2336,496,400,1312,264,1016,Cash
433,25,Female,Freshman,Psychology,10360,6296,36728,6112,2864,1136,1520,968,616,1952,600,904,Cash
434,23,Female,Sophomore,Economics,9752,3928,41192,4408,1344,1008,1472,328,536,1624,664,280,Cash
435,24,Female,Senior,Engineering,7672,5568,25600,4744,2544,1504,1224,1200,712,2280,432,816,Cash
436,18,Non-binary,Sophomore,Biology,11864,7960,30160,4552,2624,1272,824,1008,736,2272,1544,160,Credit/Debit Card
437,19,Non-binary,Sophomore,Psychology,5168,7888,45600,6856,2472,616,704,528,784,1392,1008,1224,Mobile Payment App
438,23,Male,Senior,Biology,6544,2824,41392,5296,1776,1280,1552,224,784,1544,1416,1328,Credit/Debit Card
439,18,Male,Senior,Engineering,10144,4784,27184,3864,2432,952,1344,272,760,2088,856,1376,Credit/Debit Card
440,22,Non-binary,Freshman,Biology,4504,2760,37704,7624,1992,1448,1024,432,432,2184,320,976,Mobile Payment App
441,21,Male,Freshman,Psychology,10024,3712,40768,3232,2224,1424,1880,464,552,712,1288,808,Credit/Debit Card
442,18,Non-binary,Sophomore,Engineering,6328,5912,44808,5024,2152,928,816,440,464,1432,528,1088,Cash
443,22,Non-binary,Sophomore,Psychology,6776,7712,26992,7992,3000,1320,1376,352,408,1440,240,1000,Cash
444,24,Male,Junior,Economics,5344,288,47696,5080,2240,1328,1408,896,664,1528,920,328,Mobile Payment App
445,24,Male,Freshman,Computer Science,8176,7064,25392,6656,968,1096,1136,432,520,744,376,1360,Cash
446,20,Non-binary,Senior,Economics,5800,5632,25448,3520,2904,680,1752,192,584,1512,1520,264,Cash
447,24,Non-binary,Junior,Biology,5864,1152,28448,3416,1712,568,1696,1088,584,2368,1256,1256,Credit/Debit Card
448,18,Non-binary,Freshman,Engineering,5472,5960,36552,7072,2576,1120,2120,160,792,1608,1056,1312,Mobile Payment App
449,20,Male,Senior,Psychology,4832,3952,26608,4976,1728,1128,432,720,784,2144,448,1096,Mobile Payment App
450,23,Male,Sophomore,Engineering,10768,664,45008,6392,960,1000,2336,1120,376,496,280,592,Mobile Payment App
451,23,Non-binary,Junior,Biology,11712,6000,31256,3944,2912,488,1360,744,184,704,904,1528,Credit/Debit Card
452,18,Male,Sophomore,Psychology,10064,2664,41512,4296,2960,1560,1560,672,456,1008,1000,568,Cash
453,22,Male,Freshman,Economics,7400,3808,30040,5744,1816,640,1384,560,704,1480,280,344,Cash
454,18,Male,Sophomore,Computer Science,7416,7040,45720,5984,1736,1168,1816,776,368,1760,1296,304,Mobile Payment App
455,20,Non-binary,Freshman,Engineering,9840,7736,30272,3440,1728,440,1976,592,720,1368,416,1296,Mobile Payment App
456,23,Non-binary,Freshman,Psychology,11496,6216,44176,6816,3000,792,440,1200,168,1560,424,544,Credit/Debit Card
457,21,Female,Sophomore,Computer Science,7912,1264,31304,7352,3016,1272,1216,920,320,2392,464,1408,Credit/Debit Card
458,19,Male,Senior,Biology,7280,5792,47072,3376,2920,1312,2352,1168,272,2064,1216,192,Cash
459,18,Male,Freshman,Computer Science,10584,3528,26984,5608,2952,480,1880,352,624,2208,304,1112,Cash
460,20,Female,Sophomore,Engineering,5344,264,32536,3624,1944,672,2264,1056,576,2352,400,792,Mobile Payment App
461,25,Female,Senior,Biology,8032,3720,45320,6680,1008,1432,2376,184,416,1904,632,832,Credit/Debit Card
462,21,Female,Junior,Economics,11320,4488,24664,7736,2776,912,1400,800,240,1328,1296,960,Credit/Debit Card
463,18,Male,Freshman,Engineering,7584,5912,30392,6496,2752,888,1640,1112,752,1992,856,344,Credit/Debit Card
464,21,Non-binary,Junior,Biology,8080,1984,25168,7776,2848,1360,480,536,432,616,992,800,Mobile Payment App
465,19,Female,Sophomore,Biology,6984,4392,31096,3384,888,960,1328,928,544,2040,1096,240,Credit/Debit Card
466,19,Female,Sophomore,Computer Science,7368,1184,32584,5416,1696,624,1384,416,264,1128,1288,552,Cash
467,19,Female,Freshman,Engineering,11672,2280,36088,4952,2392,1160,2360,768,568,760,280,1360,Mobile Payment App
468,25,Male,Freshman,Biology,5376,1704,31840,3360,2896,512,2320,1048,424,1608,816,664,Credit/Debit Card
469,23,Non-binary,Senior,Engineering,11688,2392,34680,4000,960,520,896,664,328,664,432,856,Mobile Payment App
470,24,Male,Senior,Psychology,11936,5152,35960,3744,1872,608,1640,464,640,1272,1256,528,Credit/Debit Card
471,19,Male,Senior,Computer Science,5016,7960,46904,7496,1504,1416,1240,1096,776,936,1376,1440,Cash
472,23,Male,Freshman,Computer Science,7688,696,46552,6248,3144,448,1240,512,688,1168,504,384,Mobile Payment App
473,22,Male,Senior,Engineering,7632,1072,27640,5312,2656,1464,1816,288,552,1440,360,544,Credit/Debit Card
474,20,Non-binary,Junior,Biology,11888,7664,46744,6056,952,1080,576,912,376,656,744,1088,Mobile Payment App
475,24,Female,Freshman,Psychology,10648,5448,47344,7592,2680,1000,2064,752,752,1368,272,1016,Mobile Payment App
476,21,Female,Senior,Computer Science,4408,3936,26056,7440,2680,472,488,328,480,472,1168,1208,Cash
477,18,Non-binary,Senior,Biology,10816,3800,46944,5744,2112,1568,1208,912,208,1952,520,456,Credit/Debit Card
478,22,Female,Senior,Engineering,11496,1632,30560,3976,2552,1288,1736,184,648,536,1000,1192,Mobile Payment App
479,25,Non-binary,Sophomore,Biology,9168,4032,39720,5656,2360,1016,912,776,240,1128,504,192,Mobile Payment App
480,21,Male,Freshman,Biology,10728,7192,25064,6800,2912,1464,2096,1032,208,1504,752,1040,Credit/Debit Card
481,25,Female,Sophomore,Biology,10648,1816,43832,6000,1240,1472,704,696,576,696,1256,424,Mobile Payment App
482,25,Male,Freshman,Computer Science,9560,6760,31200,4992,2064,1464,1424,976,728,2168,424,752,Mobile Payment App
483,24,Non-binary,Sophomore,Psychology,9976,2152,45536,5104,1264,1568,1520,736,704,1392,800,544,Cash
484,25,Female,Senior,Biology,5304,6384,43344,3360,3112,776,2256,1152,672,1192,984,1336,Cash
485,23,Female,Senior,Engineering,6888,6208,33816,7392,1144,1520,1664,912,656,952,1376,568,Credit/Debit Card
486,23,Male,Senior,Economics,4544,2720,24200,4960,2400,736,1864,600,416,2368,1528,872,Credit/Debit Card
